fecha	hora	real	programado	desviacion	porcentaje
2016-01-01	1	7359,060567	2350,4	-5008,660567	-213,0982201752893100
2016-01-01	2	7357,266726	2319,1	-5038,166726	-217,2466355913932100
2016-01-01	3	7221,740006	2298,4	-4923,340006	-214,2072748868778300
2016-01-01	4	7004,017262	2301,9	-4702,117262	-204,2711352361093000
2016-01-01	5	6878,871705	2297,8	-4581,071705	-199,3677302202106400
2016-01-01	6	6688,155282	2288,8	-4399,355282	-192,2123069730863300
2016-01-01	7	6399,118316	2310,9	-4088,218316	-176,9102218183391800
2016-01-01	8	6101,805391	2289,6	-3812,205391	-166,5009342679944100
2016-01-01	9	6084,572658	2253,1	-3831,472658	-170,0533779237495000
2016-01-01	10	6310,171935	2266,4	-4043,771935	-178,4226939198729300
2016-01-01	11	6582,511128	2263,6	-4318,911128	-190,7983357483654400
2016-01-01	12	6784,747201	2259,9	-4524,847201	-200,2233373600601800
2016-01-01	13	6953,718559	2250,6	-4703,118559	-208,9717657069226000
2016-01-01	14	7063,147463	2243,9	-4819,247463	-214,7710442978742400
2016-01-01	15	7104,626651	2238,8	-4865,826651	-217,3408366535644100
2016-01-01	16	7046,399053	2248,7	-4797,699053	-213,3543404189087000
2016-01-01	17	7018,481685	2259,6	-4758,881685	-210,6072616834838000
2016-01-01	18	6968,554849	2264,7	-4703,854849	-207,7032211330419000
2016-01-01	19	7005,594335	2277,3	-4728,294335	-207,6272048039344800
2016-01-01	20	7114,595551	2303,4	-4811,195551	-208,8736455240079900
2016-01-01	21	7250,432486	2346,2	-4904,232486	-209,0287480180717800
2016-01-01	22	7924,372344	2385,8	-5538,572344	-232,1473863693520000
2016-01-01	23	8120,593404	2385,4	-5735,193404	-240,4290015930242300
2016-01-01	24	7892,182348	2370,7	-5521,482348	-232,9051481840806500
2016-01-02	1	7639,332356	2352,5	-5286,832356	-224,7325124760892700
2016-01-02	2	7292,350676	2324,9	-4967,450676	-213,6629823218202900
2016-01-02	3	6986,524201	2304,3	-4682,224201	-203,1950788091828300
2016-01-02	4	6853,638504	2307,9	-4545,738504	-196,9642750552450300
2016-01-02	5	6782,718997	2303,6	-4479,118997	-194,4399634051050500
2016-01-02	6	6708,360768	2294,6	-4413,760768	-192,3542564281356200
2016-01-02	7	6705,148893	2316,8	-4388,348893	-189,4142305334944800
2016-01-02	8	6659,546141	2295,3	-4364,246141	-190,1383758550080600
2016-01-02	9	6947,865138	2258,4	-4689,465138	-207,6454630712008500
2016-01-02	10	7380,041255	2271,3	-5108,741255	-224,9258686655219500
2016-01-02	11	7773,37008	2268,2	-5505,17008	-242,7109637598095400
2016-01-02	12	7982,84022	2264,2	-5718,64022	-252,5678040809115800
2016-01-02	13	8061,281071	2254,9	-5806,381071	-257,5006018448711700
2016-01-02	14	8167,052051	2248,6	-5918,452051	-263,2060860535444300
2016-01-02	15	8161,066861	2243,5	-5917,566861	-263,7649592600846900
2016-01-02	16	8047,80992	2253,3	-5794,50992	-257,1566111924732600
2016-01-02	17	7956,251795	2264,3	-5691,951795	-251,3779885615863600
2016-01-02	18	7859,96939	2269,0	-5590,96939	-246,4067602468047600
2016-01-02	19	7827,231366	2281,7	-5545,531366	-243,0438430117894600
2016-01-02	20	7879,553583	2307,8	-5571,753583	-241,4313884652049600
2016-01-02	21	7947,096005	2350,8	-5596,296005	-238,0592140973285700
2016-01-02	22	8498,401162	2394,0	-6104,401162	-254,9875172096908900
2016-01-02	23	8543,385824	2390,3	-6153,085824	-257,4189777015437400
2016-01-02	24	8288,077593	2375,7	-5912,377593	-248,8688636191438300
2016-01-03	1	7862,352457	2351,6	-5510,752457	-234,3405535380166700
2016-01-03	2	7479,907405	2324,3	-5155,607405	-221,8133375639977600
2016-01-03	3	7198,725414	2303,4	-4895,325414	-212,5260664235478000
2016-01-03	4	7015,975529	2306,7	-4709,275529	-204,1563935058741900
2016-01-03	5	6949,621387	2302,5	-4647,121387	-201,8293761997828400
2016-01-03	6	6882,779375	2293,7	-4589,079375	-200,0732168548633200
2016-01-03	7	6755,861053	2315,6	-4440,261053	-191,7542344532734500
2016-01-03	8	6604,145775	2294,5	-4309,645775	-187,8250501198518200
2016-01-03	9	6770,396095	2257,9	-4512,496095	-199,8536735462155100
2016-01-03	10	7092,495162	2270,9	-4821,595162	-212,3208931260733600
2016-01-03	11	7415,153266	2267,9	-5147,253266	-226,9612093125799200
2016-01-03	12	7622,429838	2263,9	-5358,529838	-236,6946348336940700
2016-01-03	13	7754,851473	2254,8	-5500,051473	-243,9263559073975500
2016-01-03	14	7831,932761	2248,3	-5583,632761	-248,3490975848418800
2016-01-03	15	7823,467047	2243,0	-5580,467047	-248,7947858671422200
2016-01-03	16	7736,532019	2252,9	-5483,632019	-243,4032588663500400
2016-01-03	17	7673,35289	2263,9	-5409,45289	-238,9439856000706700
2016-01-03	18	7568,539108	2269,0	-5299,539108	-233,5627636844424900
2016-01-03	19	7579,982312	2281,6	-5298,382312	-232,2222261570827500
2016-01-03	20	7680,732478	2307,7	-5373,032478	-232,8306312778957400
2016-01-03	21	7856,995607	2351,1	-5505,895607	-234,1838121304921100
2016-01-03	22	8495,60805	2390,0	-6105,60805	-255,4647719665272000
2016-01-03	23	8488,070925	2389,5	-6098,570925	-255,2237256748273700
2016-01-03	24	8177,244298	2374,8	-5802,444298	-244,3340196227050700
2016-01-04	1	7743,8258	2335,4	-5408,4258	-231,5845593902543500
2016-01-04	2	7426,754111	2304,7	-5122,054111	-222,2438543411290000
2016-01-04	3	7164,083635	2282,7	-4881,383635	-213,8425388793972100
2016-01-04	4	7083,558575	2286,4	-4797,158575	-209,8127438331000700
2016-01-04	5	7044,00654	2280,9	-4763,10654	-208,8257503616993300
2016-01-04	6	7167,700563	2276,2	-4891,500563	-214,8976611457692600
2016-01-04	7	7365,32033	2298,4	-5066,92033	-220,4542433867037900
2016-01-04	8	7566,041022	2272,0	-5294,041022	-233,0123689260563400
2016-01-04	9	8159,260393	2235,4	-5923,860393	-265,0022543169007800
2016-01-04	10	8699,062511	2249,3	-6449,762511	-286,7453212555017100
2016-01-04	11	9042,622258	2242,0	-6800,622258	-303,3283790365744900
2016-01-04	12	9229,700289	2238,7	-6991,000289	-312,2794608031446800
2016-01-04	13	9286,228417	2232,2	-7054,028417	-316,0123831645909900
2016-01-04	14	9317,300223	2225,8	-7091,500223	-318,6045566987150700
2016-01-04	15	9411,100337	2225,6	-7185,500337	-322,8567728702372400
2016-01-04	16	9517,780742	2235,9	-7281,880742	-325,6800725434947900
2016-01-04	17	9389,837943	2243,6	-7146,237943	-318,5165779550722100
2016-01-04	18	9231,48989800001	2252,1	-6979,38989800001	-309,9058611074113100
2016-01-04	19	8929,281624	2264,0	-6665,281624	-294,4028985865724400
2016-01-04	20	8832,080523	2291,7	-6540,380523	-285,3942716324126200
2016-01-04	21	8802,661454	2336,0	-6466,661454	-276,8262608732876700
2016-01-04	22	9322,794713	2376,2	-6946,594713	-292,3404895631680800
2016-01-04	23	9326,566333	2369,7	-6956,866333	-293,5758253365404900
2016-01-04	24	8870,684206	2354,5	-6516,184206	-276,7544789127203200
2016-01-05	1	8391,180809	2296,7	-6094,480809	-265,3581577480733200
2016-01-05	2	7934,924576	2264,1	-5670,824576	-250,4670542820546800
2016-01-05	3	7657,171617	2244,1	-5413,071617	-241,2134760928657400
2016-01-05	4	7496,161947	2247,2	-5248,961947	-233,5778723300106800
2016-01-05	5	7486,425312	2243,6	-5242,825312	-233,6791456587627000
2016-01-05	6	7531,294935	2195,3	-5335,994935	-243,0644984740126600
2016-01-05	7	7714,056482	2195,8	-5518,256482	-251,3096129884324600
2016-01-05	8	7867,61666	2166,0	-5701,61666	-263,2325327793167100
2016-01-05	9	8332,466191	2119,8	-6212,666191	-293,0779408906500600
2016-01-05	10	8785,611296	2122,0	-6663,611296	-314,0250375117813400
2016-01-05	11	8976,685896	2113,6	-6863,085896	-324,7107255866767600
2016-01-05	12	9105,80991	2110,1	-6995,70991	-331,5345201649210900
2016-01-05	13	9152,608141	2101,5	-7051,108141	-335,5273919105400900
2016-01-05	14	9136,190868	2087,0	-7049,190868	-337,7666922855773800
2016-01-05	15	9208,774073	2081,5	-7127,274073	-342,4104767235166900
2016-01-05	16	9352,71097	2090,5	-7262,21097	-347,3911011719684300
2016-01-05	17	9389,665786	2100,9	-7288,765786	-346,9353984482840700
2016-01-05	18	9185,160201	2103,6	-7081,560201	-336,6400551911009700
2016-01-05	19	8908,639078	2126,4	-6782,239078	-318,9540574680210700
2016-01-05	20	8750,432083	2151,6	-6598,832083	-306,6941849321435200
2016-01-05	21	8765,682667	2193,8	-6571,882667	-299,5661713465220200
2016-01-05	22	9185,559964	2234,7	-6950,859964	-311,0421964469503700
2016-01-05	23	9191,911578	2234,2	-6957,711578	-311,4184754274460700
2016-01-05	24	8810,865542	2220,0	-6590,865542	-296,8858352252252300
2016-01-06	1	8282,14504	2194,3	-6087,84504	-277,4390484436950300
2016-01-06	2	7832,704917	2165,7	-5667,004917	-261,6708185344230500
2016-01-06	3	7533,64981	2148,0	-5385,64981	-250,7285758845437600
2016-01-06	4	7399,809323	2151,3	-5248,509323	-243,9691964393622500
2016-01-06	5	7363,033995	2147,5	-5215,533995	-242,8653781140861500
2016-01-06	6	7437,135131	2139,4	-5297,735131	-247,6271445732448400
2016-01-06	7	7569,102604	2159,7	-5409,402604	-250,4700932536926400
2016-01-06	8	7734,46045	2140,0	-5594,46045	-261,4233855140186900
2016-01-06	9	8300,981501	2104,8	-6196,181501	-294,3833856423413200
2016-01-06	10	8804,09932	2117,6	-6686,49932	-315,7583736305251200
2016-01-06	11	9053,377197	2114,7	-6938,677197	-328,1163851610157500
2016-01-06	12	9247,359248	2111,3	-7136,059248	-337,9936175815848100
2016-01-06	13	9267,978334	2102,7	-7165,278334	-340,7656029866362300
2016-01-06	14	9260,23783299999	2087,9	-7172,33783299999	-343,5192218497049700
